Model    FP     TP   FN   TN      Acc    Prec   Rec    F1
------------------------------------------------------------
base     1210   242  112  120832  98.92  16.67  68.36  26.80
AT-10    1219   223  131  120823  98.90  15.46  62.99  24.83
AT-20    1210   246  108  120832  98.92  16.90  69.49  27.18
AT-30    1217   226  128  120825  98.90  15.66  63.84  25.15
AT-40    1212   231  123  120830  98.91  16.01  65.25  25.71
AT-50    1218   237  117  120824  98.91  16.29  66.95  26.20
AT-60    1215   226  128  120827  98.90  15.68  63.84  25.18
AT-70    1216   239  115  120826  98.91  16.43  67.51  26.42
AT-80    1220   227  127  120822  98.90  15.69  64.12  25.21
AT-90    1217   220  134  120825  98.90  15.31  62.15  24.57
AT-100   1219   146  208  120823  98.83  10.70  41.24  16.99
